Domain,IDF
sendlogs.securifi.com.,3.3843902633457743
msh.amazon.com.,3.3843902633457743
api.amazonalexa.com.,2.7245795030534206
b.canaryis.com.,3.3843902633457743
www.google.com.,1.992430164690206
captive.roku.com.,2.995732273553991
prod-oregon-timeline-2-days.s3.amazonaws.com.,3.3843902633457743
connectivitycheck.gstatic.com.,2.3513752571634776
api-global.netflix.com.,2.517696472610991
scalews.withings.net.,3.3843902633457743
lh6.googleusercontent.com.,2.995732273553991
doorbells.august.com.,3.3843902633457743
api.smartthings.com.,3.3843902633457743
status.eagleeyes.tw.,3.3843902633457743
graph.facebook.com.,2.995732273553991
d3p8zr0ffa9t17.cloudfront.net.,3.3843902633457743
fw-update2.smartthings.com.,3.3843902633457743
time.google.com.,2.7245795030534206
spectrum.s3.amazonaws.com.,2.995732273553991
pubsub.pubnub.com.,2.517696472610991
play.googleapis.com.,2.3513752571634776
fireoscaptiveportal.com.,3.3843902633457743
apicache.vudu.com.,2.7245795030534206
www.cbs.com.,3.3843902633457743
wwwimage.cbsstatic.com.,3.3843902633457743
ps-245.pubnub.com.,3.3843902633457743
lcprd1.samsungcloudsolution.net.,3.3843902633457743
wirelessdevicestats.googleapis.com.,3.3843902633457743
eventgateway.getpiper.com.,2.517696472610991
settings-win.data.microsoft.com.,3.3843902633457743
api.amazon.com.,2.7245795030534206
i.canaryis.com.,3.3843902633457743
www.facebook.com.,3.3843902633457743
api.xbcs.net.,2.517696472610991
init.itunes.apple.com.,2.995732273553991
xp.apple.com.,2.995732273553991
www.belkin.com.,3.3843902633457743
device-metrics-us.amazon.com.,2.7245795030534206
liberty.logs.roku.com.,2.995732273553991
lh5.googleusercontent.com.,3.3843902633457743
google.com.,2.3513752571634776
yahoo.com.,3.3843902633457743
avs-alexa-4-na.amazon.com.,2.995732273553991
US.lgtvsdp.com.,3.3843902633457743
dxz5jxhrrzigf.cloudfront.net.,3.3843902633457743
b-graph.facebook.com.,3.3843902633457743
api.getpiper.com.,2.517696472610991
v10.events.data.microsoft.com.,3.3843902633457743
pool.ntp.org.,2.2129729343043585
time.nist.gov.,2.995732273553991
dcp.dc1.philips.com.,3.3843902633457743
img.youtube.com.,3.3843902633457743
yt3.ggpht.com.,3.3843902633457743
encrypted-tbn1.gstatic.com.,3.3843902633457743
googleads.g.doubleclick.net.,3.3843902633457743
lh4.googleusercontent.com.,3.3843902633457743
avs-alexa-na.amazon.com.,3.3843902633457743
time-ios.g.aaplimg.com.,2.995732273553991
czfe156-front01-iad01.transport.home.nest.com.,3.3843902633457743
logsink.devices.nest.com.,3.3843902633457743
clients3.google.com.,2.094945728215801
fcm.googleapis.com.,2.7245795030534206
rnps-crl.dl.playstation.net.,3.3843902633457743
friends.rnps.dl.playstation.net.,3.3843902633457743
checkout.rnps.dl.playstation.net.,3.3843902633457743
speech.platform.bing.com.,2.995732273553991
websockets.platform.bing.com.,2.7245795030534206
0.openwrt.pool.ntp.org.,3.3843902633457743
1.openwrt.pool.ntp.org.,3.3843902633457743
2.openwrt.pool.ntp.org.,3.3843902633457743
3.openwrt.pool.ntp.org.,3.3843902633457743
play.google.com.,2.7245795030534206
pubads.g.doubleclick.net.,2.995732273553991
tpc.googlesyndication.com.,2.995732273553991
mqtt-mini.facebook.com.,3.3843902633457743
nat.xbcs.net.,2.517696472610991
lh3.googleusercontent.com.,3.3843902633457743
nvmos.nvidia.com.,3.3843902633457743
osb.samsungqbe.com.,3.3843902633457743
diagnostics.meethue.com.,3.3843902633457743
ota.nvidia.com.,3.3843902633457743
svcs.myharmony.com.,3.3843902633457743
configsvc.cs.roku.com.,2.995732273553991
arcus-uswest.amazon.com.,2.7245795030534206
login.live.com.,2.7245795030534206
keyvalueservice.fe.apple-dns.net.,3.3843902633457743
clients4.google.com.,2.517696472610991
www.googleapis.com.,3.3843902633457743
ctest.cdn.nintendo.net.,3.3843902633457743
rps.skype.com.,2.7245795030534206
tools.google.com.,2.517696472610991
aviary.amazon.com.,3.3843902633457743
acr0.samsungcloudsolution.com.,3.3843902633457743
event.api.np.km.playstation.net.,3.3843902633457743
iphonesubmissions.apple.com.,2.995732273553991
ocsp.apple.com.,2.995732273553991
broker.lp1.npns.srv.nintendo.net.,3.3843902633457743
app-a02.lp1.npns.srv.nintendo.net.,3.3843902633457743
weather.nest.com.,3.3843902633457743
www.gstatic.com.,2.517696472610991
avs-alexa-18-na.amazon.com.,3.3843902633457743
msmetrics.ws.sonos.com.,2.995732273553991
0.irobot.pool.ntp.org.,3.3843902633457743
oem-log6.mios.com.,3.3843902633457743
ce3977996a44420d92aa-e1b41b2a25897830423caabaf43c1ef1.ssl.cf1.rackcdn.com.,3.3843902633457743
osb-ussvc.samsungqbe.com.,3.3843902633457743
d3epxf4t8a32oh.cloudfront.net.,3.3843902633457743
b.config.skype.com.,2.995732273553991
campaign.consumer.entitlement.skype.com.,3.3843902633457743
home-devices.googleapis.com.,2.995732273553991
dcape-na.amazon.com.,2.7245795030534206
unagi-na.amazon.com.,3.3843902633457743
time-ios.apple.com.,2.995732273553991
valid.apple.com.,3.3843902633457743
e673.dsce9.akamaiedge.net.,2.995732273553991
upp.itunes.apple.com.,3.3843902633457743
configuration.apple.com.,2.995732273553991
bcat-list-lp1.cdn.nintendo.net.,3.3843902633457743
images2.vudu.com.,3.3843902633457743
settings.crashlytics.com.,3.3843902633457743
gfnpc.api.entitlement-prod.nvidiagrid.net.,3.3843902633457743
static.nvidiagrid.net.,3.3843902633457743
events.gfe.nvidia.com.,3.3843902633457743
vera-us-oem-relay41.mios.com.,3.3843902633457743
notice.samsungcloudsolution.com.,3.3843902633457743
noticecdn.samsungcloudsolution.com.,3.3843902633457743
xp.itunes-apple.com.akadns.net.,3.3843902633457743
itunes.apple.com.,3.3843902633457743
aqua.hac.lp1.d4c.nintendo.net.,3.3843902633457743
tagaya.hac.lp1.eshop.nintendo.net.,3.3843902633457743
cast.google.com.,3.3843902633457743
p54-keyvalueservice.icloud.com.,2.995732273553991
atv-ext.amazon.com.,3.3843902633457743
client.wns.windows.com.,2.7245795030534206
portal.fb.com.,3.3843902633457743
ap.spotify.com.,2.517696472610991
guc3-accesspoint-a-v7p8.ap.spotify.com.,3.3843902633457743
v2.broker.lifx.co.,3.3843902633457743
gae2-accesspoint-a-27sc.ap.spotify.com.,3.3843902633457743
go.trouter.skype.com.,2.995732273553991
edge-mqtt.facebook.com.,3.3843902633457743
www.youtube.com.,2.995732273553991
rss-dpd-service.ring.com.,3.3843902633457743
fw.ring.com.,3.3843902633457743
es.ring.com.,3.3843902633457743
vod.ring.com.,3.3843902633457743
dC-nA02-uSeaST1.CONNECt.smarTtHINgS.COm.,3.3843902633457743
guc3-accesspoint-a-4q9c.ap.spotify.com.,3.3843902633457743
apresolve.spotify.com.,2.517696472610991
n-deventry.tplinkcloud.com.,2.995732273553991
a2uowfjvhio0fa.iot.us-east-1.amazonaws.com.,3.3843902633457743
r.canaryis.com.,3.3843902633457743
pindorama.amazon.com.,2.995732273553991
connect.myqdevice.com.,3.3843902633457743
connect1.myqdevice.com.,3.3843902633457743
mtalk.google.com.,2.2129729343043585
n-devs.tplinkcloud.com.,2.995732273553991
mobile.pipe.aria.microsoft.com.,2.7245795030534206
relay5.getpiper.com.,3.3843902633457743
nexus.dropcam.com.,2.7245795030534206
oculus5648-us1.dropcam.com.,3.3843902633457743
dp-gw-na.amazon.com.,2.995732273553991
andr-785f3ec7eb-cbc62794911ff31b-2d74caf764bcd32191-2540659.na.api.amazonvideo.com.,3.3843902633457743
dp-discovery-na-ext.amazon.com.,3.3843902633457743
oculus1241-us1.dropcam.com.,3.3843902633457743
oculus1224-us1.dropcam.com.,3.3843902633457743
xbox.ipv6.microsoft.com.,3.3843902633457743
guc3-accesspoint-a-cwfk.ap.spotify.com.,3.3843902633457743
advisor.arloxcld.com.,3.3843902633457743
xbroker24-z2.arloxcld.com.,3.3843902633457743
mcs.arlo.com.,3.3843902633457743
updates.arlo.com.,3.3843902633457743
https.updates.arlo.com.edgekey.net.,3.3843902633457743
arlo-device.messaging.arlo.com.,3.3843902633457743
