Domain,Probability
nvmos.nvidia.com.,0.9166666666666666
api-global.netflix.com.,0.9222222222222223
play.googleapis.com.,0.925
www.googleapis.com.,0.37222222222222223
connectivitycheck.gstatic.com.,0.925
ota.nvidia.com.,0.8972222222222223
events.gfe.nvidia.com.,0.4638888888888889
images2.vudu.com.,0.23055555555555557
apicache.vudu.com.,0.23055555555555557
gfnpc.api.entitlement-prod.nvidiagrid.net.,0.38333333333333336
static.nvidiagrid.net.,0.38333333333333336
graph.facebook.com.,0.08888888888888889
settings.crashlytics.com.,0.23055555555555557
clients3.google.com.,0.175
android.clients.google.com.,0.2916666666666667
customerevents.netflix.com.,0.125
uiboot.netflix.com.,0.125
nrdp51-appboot.netflix.com.,0.125
ichnaea.netflix.com.,0.12777777777777777
secure.netflix.com.,0.125
geomobileservices-pa.googleapis.com.,0.025
safebrowsing.googleapis.com.,0.041666666666666664
mtalk.google.com.,0.030555555555555555
2.android.pool.ntp.org.,0.03888888888888889
services.tegrazone.com.,0.08888888888888889
www.google.com.,0.044444444444444446
occ-0-162-987.1.nflxso.net.,0.03333333333333333
prod.northstar.nvidiagrid.net.,0.06666666666666667
www.gstatic.com.,0.025
mobileupdate.nvidia.com.,0.016666666666666666
mdh-pa.googleapis.com.,0.008333333333333333
android-safebrowsing.google.com.,0.005555555555555556
assets.nflxext.com.,0.005555555555555556
android.googleapis.com.,0.008333333333333333
nrdp.prod.ftl.netflix.com.,0.002777777777777778
nrdp.nccp.netflix.com.,0.002777777777777778
cdn-0.nflximg.com.,0.002777777777777778
r1---sn-nv0uixgo-5uae.gvt1.com.,0.011111111111111112
redirector.gvt1.com.,0.011111111111111112
